YouTube_ID,Video_ID,Caption,Frame_Start,Frame_End,FPS,Total_Duration,Total_Frames
jumvxOXcagg,jumvxOXcagg_0,"An empty subway station with archways and tiled flooring. The lighting remains constant, and no movement occurs in the space.",0,1208,25,48.4,1210
zWIswrv_9qI,zWIswrv_9qI_0,"A grand hall with classical architecture and warm lighting. The hall starts deserted, then people walk, stand, converse, and observe their surroundings as the lighting brightens.",0,1449,25,58.0,1450
Mxqb4fWHHA8,Mxqb4fWHHA8_0,"A serene outdoor patio or garden area with a retractable roof. The potted plants remain stationary, and the sunlight continues to illuminate the space.",0,699,25,28.04,701
4M4m_4Oyf6g,4M4m_4Oyf6g_0,"A vessel interior with passengers as it moves through turbulent waters. The ocean churns outside, and passengers remain seated.",0,1393,25,55.76,1394
YnTlOjcB-Jw,YnTlOjcB-Jw_0,"A serene landscaped garden under bright sunlight. A person walks along the pathway, then exits the scene.",0,1489,25,59.64,1491
1VjOXGkiMDA,1VjOXGkiMDA_0,"A lively public square with a central water feature. People walk, gather in groups, and sit on benches.",0,1441,25,57.68,1442
uEKyYVyw01Y,uEKyYVyw01Y_0,A serene outdoor setting featuring a war memorial and a church-like building. The scene remains completely still with no movement or changes observed.,0,1481,25,59.28,1482
CB9nNZjBJ0s,CB9nNZjBJ0s_0,"A bustling city street filled with people and shops. Pedestrians walk, talk on phones, enter and exit stores, and carry bags; a white car is parked at the curb.",0,1508,25,60.4,1510
M8p-7FknirM,M8p-7FknirM_0,"A serene journey through a lush mountainous landscape with waterfalls. The waterfall cascades into a pool, an orange object briefly appears then disappears, and a person observes the scenery from a viewing platform.",498,2382,30,97.0,2910
-t652n90ws8,-t652n90ws8_0,"A group of individuals excavates ancient ruins at an archaeological site. The central figure kneels and handles an object, while the others observe and engage in conversation; the newcomer actively alternates between standing and crouching, handling tools and materials.",0,1392,25,55.72,1393
ZGZ6a2Q9v88,ZGZ6a2Q9v88_0,"A serene landscape with rocky terrain, forest, and rolling hills. The boulders and vegetation remain still, while the trees cast shadows; the clouds in the sky occasionally shift.",0,1504,25,60.24,1506
Q5BjcLt7rhA,Q5BjcLt7rhA_0,"A busy waterfront promenade on a sunny day. People stand by the water, stroll along the walkway, and subtly reposition within the crowd.",0,1502,25,60.12,1503
VA0tmriaxiU,VA0tmriaxiU_0,"An ancient amphitheater with classical architecture and stone seating. The observer ascends the steps, and blurred figures of other visitors move in the background.",0,1453,25,58.16,1454
ZzxJQ69thGs,ZzxJQ69thGs_0,"A tranquil shopping arcade with Asian architectural elements. The shops and kiosks remain static, and no movement is observed.",0,1461,25,58.52,1463
9ipHWtrRaDg,9ipHWtrRaDg_0,"A serene outdoor scene featuring a central water fountain surrounded by grass and trees. The fountain continuously sprays water, a bird flies across the sky, and a person briefly stands near the fountain before leaving.",0,1439,25,57.64,1441
jmb7JtZv5R0,jmb7JtZv5R0_0,"An abandoned historical site with ancient ruins and overgrown vegetation. The camera shifts viewpoints, revealing slight variations in the ruins and pathways, but no objects move.",0,1609,25,64.64,1616
dZ61y3Z1wAA,dZ61y3Z1wAA_0,"An expansive cave interior with illuminated rocky textures. Small groups of people explore the area, with some moving closer to the camera.",0,1453,25,58.2,1455
ZXso8Ot9MAQ,ZXso8Ot9MAQ_0,A serene canal scene with classic European architecture. Pedestrians leisurely change positions along the canal's edge.,0,1475,25,59.04,1476
Tu03WOTynts,Tu03WOTynts_0,"A bustling public square with a statue and historic architecture. People walk and converse around the statue, with slight movements observed among the crowd.",0,1295,25,51.88,1297
CjKTt_J2O_c,CjKTt_J2O_c_0,"An urban street scene with modern buildings and clear skies. A pedestrian briefly crosses the street, followed by a vehicle passing through the intersection.",0,1457,25,58.32,1458
EiXilycZlUE,EiXilycZlUE_0,"A bustling urban market with various stalls and a vibrant crowd. Vendors tend to goods, interact with customers, and transport items; pedestrians move through the aisles, and vehicles weave along the pathway.",0,1654,25,66.2,1655
ehXSXQdIswU,ehXSXQdIswU_0,"A lively outdoor market filled with colorful stalls and paper lanterns. People walk and stand, engaging in conversations and tending to their stalls, while motorbikes weave through the crowd.",0,1455,25,58.24,1456
dVOKm6FMhyU,dVOKm6FMhyU_0,"A futuristic high-altitude ride with a view of an urban landscape. People walk, stand, and one figure sits on a ledge.",0,1473,25,59.0,1475
qgM6qWU4dWQ,qgM6qWU4dWQ_0,"A sunny plaza with a traditional building and palm trees. The statues and building remain still, with no movement observed.",0,1445,25,57.84,1446
QYWdSGPQVpM,QYWdSGPQVpM_0,"A vibrant night market scene filled with activity and illuminated stalls. The vendor attends to their stall, and people browse and interact in the crowd.",0,1459,25,58.44,1461
KUE7VmJYe0U,KUE7VmJYe0U_0,"A lively outdoor market in a spacious piazza with traditional architecture. People walk, converse, browse goods, and navigate through the crowd, while bicycles are parked nearby.",0,1059,25,42.4,1060
1Rq2qc158Js,1Rq2qc158Js_0,A tranquil urban park with greenery and autumn foliage. People sit on the grass and walk along the paved path.,0,1558,25,62.4,1560
CWHyH4WPXX0,CWHyH4WPXX0_0,A grand plaza with intricate arches and a classical building. People move slightly within the plaza.,0,1589,25,63.6,1590
VAOomHpd00E,VAOomHpd00E_0,"A coastal scene with turbulent waves and a breakwater. The water remains turbulent, and the buildings and paved area maintain their positions.",0,1469,25,58.84,1471
BlGJfR8AxEM,BlGJfR8AxEM_0,"A tranquil landscape with a solitary figure under a cloudy sky. The figure remains stationary, sitting next to a bush.",0,1832,30,61.13,1834
yXK7fgtwM-A,yXK7fgtwM-A_0,"A busy urban public space in front of an archway. People walk in pairs or groups, some carrying bags, and a black vehicle moves across the scene.",0,1539,25,61.6,1540
7nbmHbDAKlI,7nbmHbDAKlI_0,"A static room with a curved desk and chairs, designed for multimedia use. The furniture and equipment remain unchanged, and there is no movement in the scene.",0,1323,25,52.96,1324
oU3nLVBiIDQ,oU3nLVBiIDQ_3,"A static interior room with a harp and warm décor. The harp remains in place, and the lighting and curtains do not change.",2502,3780,30,288.0,8640
oU3nLVBiIDQ,oU3nLVBiIDQ_4,"An elegant room with natural light and a handcrafted harp. The harp remains in place, and the chairs stay unoccupied.",3927,4883,30,288.0,8640
oU3nLVBiIDQ,oU3nLVBiIDQ_5,"An elegant interior room with warm lighting and a grand harp. The natural light subtly changes in intensity and angle, but all objects remain stationary.",5037,5988,30,288.0,8640
oU3nLVBiIDQ,oU3nLVBiIDQ_6,A warm and inviting room with elegant decor. The harp remains covered and stationary; no significant movements occur.,6137,7374,30,288.0,8640
oU3nLVBiIDQ,oU3nLVBiIDQ_7,"A cozy room featuring a large wooden harp and elegant decor. The harp and furnishings remain stationary, with no changes in lighting or decor.",7520,8523,30,288.0,8640
oU3nLVBiIDQ,oU3nLVBiIDQ_2,"A spacious, warmly lit room with elegant decor. The chandelier shines continuously, and the furnishings remain unchanged.",1925,2351,30,288.0,8640
AjfUH6LOEJs,AjfUH6LOEJs_0,"A crowd gathers around a large, stationary object resembling a boat in an urban setting. People adjust their positions and move closer to the object while maintaining their focus on it.",0,1516,25,60.68,1517
-F0wmnd3Q-k,-F0wmnd3Q-k_0,"A bustling public square with people interacting and notable architecture. People walk, stand, and gather in groups; shadows shift as clouds move.",0,1463,25,58.56,1464
K3UM46I90v0,K3UM46I90v0_0,"A grand, opulent interior resembling a hall with ornate details. A person enters and stands in the central area, facing an arch.",0,1490,25,59.64,1491
4uQJrfMY8pw,4uQJrfMY8pw_0,"A lively outdoor Christmas market at night. People navigate through decorated stalls, and umbrellas are used due to the drizzle.",0,1433,25,57.36,1434
mltqKPv6yd4,mltqKPv6yd4_0,An elegant interior of a spacious building with balconies and a chandelier. A few individuals move subtly within the grand space.,0,1444,25,58.16,1454
1NW84qNHOy0,1NW84qNHOy0_0,"An ancient amphitheater illuminated by the warm glow of the sun. The structure remains unchanged, with scaffolding visible on one side.",0,1461,25,58.48,1462
wwUZXEWwJCw,wwUZXEWwJCw_0,"A vibrant urban square filled with people and historical architecture. People walk, converse, sit on benches, and a dog is walked across the square.",0,1359,25,54.4,1360
C281r4WP3zk,C281r4WP3zk_0,"A grand interior of a historical building filled with visitors. Visitors walk and observe the exhibits, and shadows subtly shift.",25,724,25,57.92,1448
nG6y0Ke30hM,nG6y0Ke30hM_0,A cluttered and impoverished urban environment with narrow pathways and dilapidated buildings. People engage in activities like cooking over open flames and reposition themselves within the area.,0,1503,25,60.16,1504
MtRhnM_8GYE,MtRhnM_8GYE_0,"A lively outdoor shopping street bustling with pedestrians and shops. People walk in various directions, some carrying shopping bags; an umbrella appears among the crowd.",0,1531,25,61.32,1533
zWyEhQfth64,zWyEhQfth64_0,"A tranquil view of a classical temple surrounded by greenery. The temple and its surroundings remain completely still, with no movement observed.",0,1444,25,57.92,1448
hF5giwPzJzc,hF5giwPzJzc_0,"A tranquil landscape view from a curved staircase overlooking a lush valley. The staircase remains visible, while the camera reveals more of the valley and water bodies below.",0,1468,25,58.76,1469
Czgj_bGWIZ0,Czgj_bGWIZ0_0,"A vibrant greenhouse filled with various plants and flowers. Visitors walk along the central path, observing the plants.",25,106,25,58.32,1458
Czgj_bGWIZ0,Czgj_bGWIZ0_1,"A vibrant greenhouse filled with diverse plants under a clear ceiling. Visitors walk along the path, observing the plants and engaging with the space.",157,724,25,58.32,1458
Czgj_bGWIZ0,Czgj_bGWIZ0_2,"An interior view of a greenhouse filled with various plants. Visitors explore, converse, and stroll through the aisles between the plant beds.",775,1225,25,58.32,1458
BL7G5BAfhfc,BL7G5BAfhfc_0,"A still outdoor scene featuring a large puddle and a historic building. The puddle remains unchanged, and the trees appear dormant.",0,1476,25,59.12,1478
d64e--8uxgQ,d64e--8uxgQ_0,"A vibrant outdoor celebration with a decorated boat on the shore. People engage in relaxed activities near the boat, with minor adjustments in the crowd's positions.",25,886,25,61.92,1548
NFoVjwoGFcc,NFoVjwoGFcc_0,"A grand hall with polished floors and ornate columns filled with people. People walk in various directions, while the architectural elements remain unchanged.",0,1446,25,57.92,1448
nRoTXdmFdBk,nRoTXdmFdBk_0,"A grand public space with a majestic building and stone steps. People stand or sit on the steps, and the lighting remains consistent.",0,1460,25,58.44,1461
gOn4zM9ZMSQ,gOn4zM9ZMSQ_0,"A bustling city street filled with people and vehicles under an overcast sky. People walk and interact in groups, while a white van inches forward.",0,1787,25,71.56,1789
ZEJH07n3QVk,ZEJH07n3QVk_0,"A lively town square with people interacting under overcast skies. Individuals walk, stand, and converse, with the number of people fluctuating.",0,1535,25,61.44,1536
q09Z8fi5Y0s,q09Z8fi5Y0s_0,A grand interior space resembling a large auditorium. No movement or changes are observed in the environment or objects.,0,1462,25,58.52,1463
4Qx3Hg5Fny4,4Qx3Hg5Fny4_3,"A tranquil park scene with a large tree and individuals engaged in leisure activities. People walk, jog, and converse, while a child shifts position near the tree.",1537,1918,25,130.24,3256
4Qx3Hg5Fny4,4Qx3Hg5Fny4_4,"A lively plaza featuring historical architecture and a horse-drawn carriage. The horse-drawn carriage moves closer, stops for a moment, then resumes moving faster across the plaza, turning slightly as it continues its journey.",1990,2365,25,130.24,3256
4Qx3Hg5Fny4,4Qx3Hg5Fny4_5,"An expansive public square features a distinctive shell-like roof and architectural beauty. Initially empty, people gather in the center for an event, then disperse, leaving the square mostly empty again.",2416,2806,25,130.24,3256
4Qx3Hg5Fny4,4Qx3Hg5Fny4_6,"A busy elevated walkway in an urban setting at dusk. People walk, observe the view, and use mobile devices while leaning on the railing.",2881,3208,25,130.24,3256
4Qx3Hg5Fny4,4Qx3Hg5Fny4_0,"A grand interior space resembling a historical building or museum. Visitors walk, stand, take photographs, and change positions slightly.",25,466,25,130.24,3256
4Qx3Hg5Fny4,4Qx3Hg5Fny4_1,A serene landscaped garden viewed through an archway. Visitors walk along the paths and shift positions on benches.,538,958,25,130.24,3256
4Qx3Hg5Fny4,4Qx3Hg5Fny4_2,"A serene garden with a central fountain and palm trees. Water jets from the fountain, while the lighting subtly changes over time.",1033,1462,25,130.24,3256
dFZTosGvpnU,dFZTosGvpnU_0,"An industrial area under an overcast sky with occasional human activity. Two individuals initially converse, one approaches the camera, and new figures enter and exit the scene, but the surroundings remain unchanged.",0,1582,25,63.32,1583
cKTTXsK3Dks,cKTTXsK3Dks_0,A completely white background with no discernible objects. There are no movements or changes in the scene.,30,17991,30,605.57,18167
I6uM2ebpIcI,I6uM2ebpIcI_0,"A sunny public square featuring a large fountain and neoclassical buildings. A person stands up from the fountain's edge, and shadows shift slightly.",0,1497,25,59.92,1498
KoRP1ATLQ4Y,KoRP1ATLQ4Y_0,"A lively marketplace filled with people and stalls. People browse goods, walk through the square, and engage in conversation.",0,1474,25,59.0,1475
Zh9PFYAIX-0,Zh9PFYAIX-0_0,A static cityscape featuring a prominent building with a clock tower. No movement or changes in the scene; the environment remains unchanged.,0,1336,25,53.52,1338
McEMu4rFPaY,McEMu4rFPaY_0,A grand interior hall with high ceilings and elegant chandeliers. A few individuals remain stationary at the far end of the hall.,0,1473,25,58.96,1474
s1eJ_VYKi6o,s1eJ_VYKi6o_3,"A bustling street market filled with people and shops. People move in and out of the frame, and vehicles navigate the road.",1027,1267,25,60.36,1509
s1eJ_VYKi6o,s1eJ_VYKi6o_0,"A bustling urban street market filled with vendors and pedestrians. Pedestrians move slightly, vendors remain stationary, and a rickshaw briefly enters the scene before moving out.",25,475,25,60.36,1509
s1eJ_VYKi6o,s1eJ_VYKi6o_1,"A bustling urban street market with narrow alleyways and packed stalls. Pedestrians navigate through the market, weaving between stalls, while motorcycles and bicycles remain stationary along the sides.",526,724,25,60.36,1509
s1eJ_VYKi6o,s1eJ_VYKi6o_2,"A bustling street market in a densely populated urban area. Pedestrians walk, converse, and tend to stalls; motorcycles and rickshaws move through the street.",775,976,25,60.36,1509
H3XAFPUb_rU,H3XAFPUb_rU_0,"A bustling market scene with parked vehicles and pedestrians. People walk by market stalls, some interacting with vendors, and the orange truck moves slightly forward.",0,1443,25,57.76,1444
-bk0hnBfJp8,-bk0hnBfJp8_0,A serene view of a neoclassical structure framed by columns. The columns and building remain still; the sky and shadows are constant.,0,1463,25,58.6,1465
FptLnrWT5gM,FptLnrWT5gM_0,"A grand corridor leading to a peaceful courtyard filled with people. Individuals walk through the corridor, engage in conversations, and new figures enter the scene.",0,1361,25,54.48,1362
NnhyFdpvA9I,NnhyFdpvA9I_0,"A serene waterfront scene with people engaging at a panoramic walkway. A person gazes at the water, another joins them; they reposition, converse, and one points out an interesting view before exiting the frame.",0,1518,25,60.76,1519
gCgkib1U8OQ,gCgkib1U8OQ_0,"A tranquil view through an archway into a courtyard with Islamic architecture. The scene remains still, with no movement or people present.",0,1478,25,59.16,1479
MGwEDrJW5QU,MGwEDrJW5QU_0,"A tranquil outdoor scene with people gathered around a still body of water. People stand, sit, or crouch, engaging in photography or fishing.",0,1459,25,58.4,1460
X99lirNA28c,X99lirNA28c_0,"A large plaza during twilight with distinct buildings and a colorful sky. Birds change positions in the sky, horse-drawn carriages and people move through the plaza, and clouds shift slightly.",0,1517,25,60.8,1520
deeRY9tHSRk,deeRY9tHSRk_0,A lively outdoor night scene with a glowing Christmas tree. People walk around and some are seated in the square.,25,1300,25,57.28,1432
lNB0qSBjboo,lNB0qSBjboo_0,"A spacious plaza with a conical spire structure and surrounding buildings. People walk and gradually disperse, leaving the plaza increasingly empty.",0,1519,25,60.8,1520
YJROHqqgEFE,YJROHqqgEFE_0,"A tranquil evening scene by a body of water with a sunset. People remain seated or standing in place, while the colors of the sky and water subtly change.",0,1514,25,60.6,1515
UIZi3gubOSM,UIZi3gubOSM_0,"A grand interior of a church or cathedral with ornate design. People occupy the pews, contributing to the serene atmosphere.",0,1435,25,57.48,1437
XrYBvIqKO-E,XrYBvIqKO-E_0,"A serene panoramic landscape featuring a historic stone structure and distant cityscape. The stone structure and railings remain stationary, with no movement or changes in the landscape.",0,1482,25,59.36,1484
th9VtvPdv3I,th9VtvPdv3I_0,"A serene desert landscape with shifting sand dunes and traditional architecture. The camel moves steadily across the sand, altering the dunes' shapes and casting changing shadows.",0,1390,25,55.68,1392
QJt6U3EVIts,QJt6U3EVIts_0,A tranquil wooded area with tall pine trees and a sandy clearing. The scene remains static with no movement or changes in the environment.,0,1518,25,60.76,1519
Gp13udWnu2I,Gp13udWnu2I_0,"A bustling traditional market corridor filled with shops and people. People walk, converse, and browse the merchandise while sunlight filters through the roof.",0,1580,25,63.24,1581
Y9kExggZlj4,Y9kExggZlj4_0,An opulently decorated interior with a red carpet and golden embellishments. A solitary individual crouches near the center of the room.,0,1510,25,60.44,1511
Dv3BvFZmjbk,Dv3BvFZmjbk_0,"A historic site with stone pillars and ancient structures under an overcast sky. People walk and stand in the open area, while the water reflects the surroundings.",0,1486,25,59.48,1487
6OKnyRJBT6c,6OKnyRJBT6c_3,A serene lakeside scene with a sandy beach and calm waters. The scene remains unchanged with no movement or changes in objects.,2787,3587,30,180.1,5403
6OKnyRJBT6c,6OKnyRJBT6c_4,"A tranquil landscape with calm waters and forested hills. The water remains still, and the pier stays fixed in place.",3676,4475,30,180.1,5403
6OKnyRJBT6c,6OKnyRJBT6c_5,"A picturesque landscape viewed through a semi-circular window showcasing rustic architecture and lush greenery. The waterfall continuously flows, and visitors remain stationary on the platform.",4565,5346,30,180.1,5403
6OKnyRJBT6c,6OKnyRJBT6c_0,"A serene outdoor setting with a viewing area overlooking a teal-colored body of water. People sit on benches, walk along the path, and shift positions slightly while admiring the view.",29,867,30,180.1,5403
6OKnyRJBT6c,6OKnyRJBT6c_1,"A serene landscape with a large body of water surrounded by greenery. People walk along the path and some are stationary, enjoying the view.",957,1791,30,180.1,5403
6OKnyRJBT6c,6OKnyRJBT6c_2,"A tranquil natural scene featuring a suspension bridge over a ravine. The bridge remains still, surrounded by dense greenery, with no movement or activity present.",1877,2699,30,180.1,5403
NPgYJmqVY7k,NPgYJmqVY7k_0,"A static view through an archway leading to a garden courtyard. There is no movement; only lighting changes slightly, affecting shadows and highlights.",0,1478,25,59.16,1479
qCYGnANWPxg,qCYGnANWPxg_0,"A dimly lit interior space with a large, spherical mirror. People walk by, some stop to look at their reflections, and the number of viewers gradually increases.",0,2761,25,110.48,2762
N_koSg70L9c,N_koSg70L9c_0,"A tranquil arched room with a sandy floor. The sandy floor shows minor disturbances, but no significant movement occurs.",0,1478,25,59.32,1483
pYm3-MGlA5M,pYm3-MGlA5M_0,"A tranquil town square surrounded by diverse buildings on an overcast day. People gradually appear, walking leisurely, while their shadows shift slightly.",0,1479,25,59.2,1480
v8uyAs0Kh_Q,v8uyAs0Kh_Q_0,A tranquil public space with geometric bushes and a gazebo. There is no movement or change in the scene.,0,1539,25,61.6,1540
3Ksjvuh3ciU,3Ksjvuh3ciU_0,"A bustling urban plaza filled with pedestrians and trees. People walk, stand, converse, and one individual rides a bicycle through the crowd.",0,1517,25,60.72,1518
Qzzwpit_yWQ,Qzzwpit_yWQ_0,"A grand corridor with classical columns and chandeliers. People walk through the corridor, some approaching and others moving away.",0,1405,25,56.28,1407
u7DmsnGdHm0,u7DmsnGdHm0_0,"A serene scene featuring a large ornate fountain in a park or garden. Water flows continuously from the fountain, while people walk and pause around it.",0,1517,25,60.72,1518
ivdLc6qC4ag,ivdLc6qC4ag_3,A solemn memorial with irregular concrete slabs for reflection. Visitors walk among the slabs and sit on them.,1039,1297,25,109.6,2740
ivdLc6qC4ag,ivdLc6qC4ag_4,"A lively public plaza in an urban setting with modern buildings. People walk, engage in activities, and new figures appear while others leave the frame.",1348,1612,25,109.6,2740
ivdLc6qC4ag,ivdLc6qC4ag_5,"An urban landscape viewed from a high vantage point. Buildings remain static, and the walkway and metal structure stay in place.",1663,1906,25,109.6,2740
ivdLc6qC4ag,ivdLc6qC4ag_6,A panoramic cityscape view from an elevated observation point. The camera subtly pans to reveal different sections of the city and the observation deck.,1957,2218,25,109.6,2740
ivdLc6qC4ag,ivdLc6qC4ag_7,A desolate industrial area with half-built structures and a central building. There is no movement or change in the scene.,2269,2492,25,109.6,2740
ivdLc6qC4ag,ivdLc6qC4ag_1,"A bustling public square featuring a central structure resembling Brandenburg Gate. People walk briskly, stand in groups, and a cyclist navigates through the crowd.",418,676,25,109.6,2740
ivdLc6qC4ag,ivdLc6qC4ag_2,"A serene view of the Reichstag building in Berlin with a lively plaza. Individuals stroll, cyclists pass by, and some pedestrians shift positions.",727,988,25,109.6,2740
iop6ZkaIwXA,iop6ZkaIwXA_0,"A quiet city square with purple flowers and historic buildings. The flowers and buildings remain stationary, with no movement observed.",0,1521,25,60.92,1523
zmo9AloMoWA,zmo9AloMoWA_0,"A lively urban plaza filled with people and skyscrapers in the background. People walk, converse, and rest; some stroll around the reflecting pool while others sit or stand in groups.",0,1443,25,57.76,1444
Uszr9FmWriY,Uszr9FmWriY_0,A tranquil historic setting with a central tower and surrounding buildings. A solitary figure walks leisurely across the grassy area.,0,1495,25,59.84,1496
v2X1DUZnv90,v2X1DUZnv90_0,"A tranquil boat journey through a waterway with stilt houses. The boat glides steadily through the water, reflecting sunlight and surroundings.",1321,1450,25,60.48,1512
wBt4M8peOjQ,wBt4M8peOjQ_0,"A serene landscape featuring terraced fields and distant mountains. The view remains unchanged, with soft lighting and consistent cloud formations.",31,859,30,119.4,3582
